Brand,Name,Price,Image,Link
Oppo,"Oppo A17 6.56"" 4 - 64 Gb Bleu -5000 mAh - Garantie 1 An",562.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/7086/1.jpg?8445,https://www.jumia.com.tn/smartphones//oppo-a17-6.56-4-64-gb-bleu-5000-mah-garantie-1-an-680766.html
Itel,"Itel P38 - 6.52"" - 2Go - 32Go - 6.5"" -5000mAH + Pochette et Anticasse - Blue - Garantie 1 An",283.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/0147/1.jpg?5986,https://www.jumia.com.tn/smartphones//itel-p38-6.52-2go-32go-6.5-5000mah-pochette-et-anticasse-blue-garantie-1-an-741086.html
Smart,"Smart E1 - 6.1"" - 2Go - 16Go - Bleu - Garantie 1 an",239.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/9766/1.jpg?2990,https://www.jumia.com.tn/smartphones//smart-e1-6.1-2go-16go-bleu-garantie-1-an-667903.html
Samsung,"Samsung Galaxy A03 Core 6,5"" HD+ 2- 32 Go - Bronze - Garantie 1 an",406.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/7717/1.jpg?8167,https://www.jumia.com.tn/smartphones//samsung-galaxy-a03-core-65-hd-2-32-go-bronze-garantie-1-an-717733.html
Samsung,Samsung Galaxy A04 4 - 64 Go - blanc- Garantie 1 an,571.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/6707/1.jpg?4222,https://www.jumia.com.tn/smartphones//samsung-galaxy-a04-4-64-go-blanc-garantie-1-an-707633.html
Nokia,"Nokia C1 2nd Edition - 5.45"" - 1Go - 16 Go - Bleu Garanti 1an -",182.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/8644/1.jpg?7264,https://www.jumia.com.tn/smartphones//nokia-c1-2nd-edition-5.45-1go-16-go-bleu-garanti-1an-446820.html
XIAOMI,"XIAOMI Redmi Note 12 - 6,67"" Amoled 120hz - 6 Go -128 Go - Vert Menthe - Garantie 1 an",783.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/5937/1.jpg?6576,https://www.jumia.com.tn/smartphones//xiaomi-redmi-note-12-667-amoled-120hz-6-go-128-go-vert-menthe-garantie-1-an-739567.html
Nokia,"Nokia C1 2nd Edition - 5.45"" - 1Go - 16 Go - Purple - Garantie 1 an",191.9,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/8644/1.jpg?8626,https://www.jumia.com.tn/smartphones//nokia-c1-2nd-edition-5.45-1go-16-go-purple-garantie-1-an-446826.html
Infinix,"Infinix SMART 6 PLUS - 6,82"" - 4G/DS - 2/64 GB - X6823 - Miracle Black",399.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/0617/1.jpg?9067,https://www.jumia.com.tn/smartphones//infinix-smart-6-plus-682-4gds-264-gb-x6823-miracle-black-716093.html
Samsung,"Samsung Galaxy A14 - 6.6"" - 7Gb Ram(3+4) - 128 GB - 5000mAh - Silver - 1an Garantie",761.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/8827/1.jpg?7988,https://www.jumia.com.tn/smartphones//samsung-galaxy-a14-6.6-7gb-ram34-128-gb-5000mah-silver-1an-garantie-728857.html
Infinix,"Infinix SMART 6 PLUS - 6,82"" - 4G/DS - 2/64 GB - X6823 - Tranquil Sea Blue",399.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/0617/1.jpg?9067,https://www.jumia.com.tn/smartphones//infinix-smart-6-plus-682-4gds-264-gb-x6823-tranquil-sea-blue-716092.html
Samsung,"Samsung Galaxy A03 Core - 6.5"" - 2Go -32Go +Anticasse - Bronze - Garantie 1an",379.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/3696/1.jpg?4717,https://www.jumia.com.tn/smartphones//samsung-galaxy-a03-core-6.5-2go-32go-anticasse-bronze-garantie-1an-696362.html
Infinix,"Infinix Smart 7 - 6,6"" - 4GB (Up to 7GB) - 64 GB - Polar Black - Garantie 1 an",419.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/1617/1.jpg?8848,https://www.jumia.com.tn/smartphones//infinix-smart-7-66-4gb-up-to-7gb-64-gb-polar-black-garantie-1-an-716187.html
XIAOMI,XIAOMI Redmi Note 11S - 8Go - 128Go - 108MP - Bleu - Garantie 1 an,979.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/5446/1.jpg?3268,https://www.jumia.com.tn/smartphones//xiaomi-redmi-note-11s-8go-128go-108mp-bleu-garantie-1-an-644529.html
Infinix,"Infinix Smart 7 - 6,6"" - 7GB (4+3) Ram - 64 GB - Noir- Garantie 1 an",397.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/0817/1.jpg?1548,https://www.jumia.com.tn/smartphones//infinix-smart-7-66-7gb-43-ram-64-gb-noir-garantie-1-an-718069.html
Infinix,"Infinix Hot 20i - 6,6"" HD+ IPS - 4GO - 128GO + Anticasse - Black - Garantie 1 an",479.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/3307/1.jpg?5808,https://www.jumia.com.tn/smartphones//infinix-hot-20i-66-hd-ips-4go-128go-anticasse-black-garantie-1-an-703387.html
Infinix,"Infinix SMART 6 PLUS - 6,82"" - 4G/DS - 2/64 GB - X6823 - Crystal Violet",399.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/0617/1.jpg?9067,https://www.jumia.com.tn/smartphones//infinix-smart-6-plus-682-4gds-264-gb-x6823-crystal-violet-716094.html
XIAOMI,XIAOMI Redmi A1+ - 2 Go - 32  Go - Noir,335.0,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/1107/1.jpg?1969,https://www.jumia.com.tn/smartphones//xiaomi-redmi-a1-2-go-32-go-noir-701180.html
